Codigo;Nome;E-mail;Telefone;Matricula;Senha;Latts;Status;Foto;Data de Nascimento
1;Gabriel Toledo;Gabriel.Toledo@gmail.com;(44) 3383-6281;670352;31208;https://www.google.com/url?sa=i&url=https%3A%2F%2Ftwitter.com%2Fbetwayesportsbr%2Fstatus%2F1352359131148115976&psig=AOvVaw1pF6OyxESOzpzzS0cK6LRg&ust=1663976922958000&source=images&cd=vfe&ved=0CAwQjRxqFwoTCLjO0ZzLqfoCFQAAAAAdAAAAABAD;Ativo;https://www.google.com/url?sa=i&url=https%3A%2F%2Ftwitter.com%2Fbetwayesportsbr%2Fstatus%2F1352359131148115976&psig=AOvVaw1pF6OyxESOzpzzS0cK6LRg&ust=1663976922958000&source=images&cd=vfe&ved=0CAwQjRxqFwoTCLjO0ZzLqfoCFQAAAAAdAAAAABAD;31208
2;Ana Laura Azevedo;AnaL.Azevedo@gmail.com;(42) 2337-6860;613491;29516;https://www.google.com/imgres?imgurl=https%3A%2F%2Fculturainglesamg.com.br%2Fapp%2Fuploads%2F2019%2F06%2FO-que-%25C3%25A9-preciso-para-trabalhar-como-professor-de-ingl%25C3%25AAs-2-760x460.jpg&imgrefurl=https%3A%2F%2Fculturainglesamg.com.br%2Fblog%2Fo-que-e-preciso-para-trabalhar-como-professor-de-ingles%2F&tbnid=M93XcimAJUfpaM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyggegUIARCiAg..i&docid=ps7BM3vr55n6jM&w=760&h=460&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyggegUIARCiAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fculturainglesamg.com.br%2Fapp%2Fuploads%2F2019%2F06%2FO-que-%25C3%25A9-preciso-para-trabalhar-como-professor-de-ingl%25C3%25AAs-2-760x460.jpg&imgrefurl=https%3A%2F%2Fculturainglesamg.com.br%2Fblog%2Fo-que-e-preciso-para-trabalhar-como-professor-de-ingles%2F&tbnid=M93XcimAJUfpaM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyggegUIARCiAg..i&docid=ps7BM3vr55n6jM&w=760&h=460&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyggegUIARCiAg;29516
3;Vitória Cavalcanti;Vitória.Cavalcanti@gmail.com;(42) 3686-9526;121756;33844;https://www.google.com/imgres?imgurl=https%3A%2F%2Fi2.wp.com%2Fdirecionalescolas.com.br%2Fwp-content%2Fuploads%2F2017%2F10%2FDo-professor-de-antes-ao-educador-atual.jpg%3Ffit%3D550%252C327%26ssl%3D1&imgrefurl=https%3A%2F%2Fdirecionalescolas.com.br%2Fdo-professor-de-antes-ao-educador-atual%2F&tbnid=Vg9UwlIkEktDoM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygiegUIARCmAg..i&docid=Y8MPpgb8PC1XtM&w=550&h=327&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygiegUIARCmAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fi2.wp.com%2Fdirecionalescolas.com.br%2Fwp-content%2Fuploads%2F2017%2F10%2FDo-professor-de-antes-ao-educador-atual.jpg%3Ffit%3D550%252C327%26ssl%3D1&imgrefurl=https%3A%2F%2Fdirecionalescolas.com.br%2Fdo-professor-de-antes-ao-educador-atual%2F&tbnid=Vg9UwlIkEktDoM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygiegUIARCmAg..i&docid=Y8MPpgb8PC1XtM&w=550&h=327&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygiegUIARCmAg;33844
4;Breno Souza;Breno.Souza@gmail.com;(41) 2613-0401;80374;31655;https://www.google.com/imgres?imgurl=https%3A%2F%2Ffilhosweb.com.br%2Fsite%2Fwp-content%2Fuploads%2F2020%2F03%2Flogin-professores.png&imgrefurl=https%3A%2F%2Ffilhosweb.com.br%2Fsite%2Flogin-professor%2F&tbnid=TGtiA6TM6qlhDM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygcegUIARCaAg..i&docid=zyuLfHaTSX16uM&w=514&h=782&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygcegUIARCaAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Ffilhosweb.com.br%2Fsite%2Fwp-content%2Fuploads%2F2020%2F03%2Flogin-professores.png&imgrefurl=https%3A%2F%2Ffilhosweb.com.br%2Fsite%2Flogin-professor%2F&tbnid=TGtiA6TM6qlhDM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygcegUIARCaAg..i&docid=zyuLfHaTSX16uM&w=514&h=782&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygcegUIARCaAg;31655
5;Miguel Moreira;Miguel.Moreira@gmail.com;(44) 3150-5451;195918;33257;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.saseducacao.com.br%2Fwp-content%2Fuploads%2F2021%2F10%2Fpexels-rodnae-productions-7092613-scaled.jpg&imgrefurl=https%3A%2F%2Fblog.saseducacao.com.br%2Fsaude-mental-do-professor%2F&tbnid=cyefmGtJmj8cyM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygmegUIARCuAg..i&docid=kHPDHvNowQxgCM&w=2560&h=1707&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygmegUIARCuAg;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.saseducacao.com.br%2Fwp-content%2Fuploads%2F2021%2F10%2Fpexels-rodnae-productions-7092613-scaled.jpg&imgrefurl=https%3A%2F%2Fblog.saseducacao.com.br%2Fsaude-mental-do-professor%2F&tbnid=cyefmGtJmj8cyM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygmegUIARCuAg..i&docid=kHPDHvNowQxgCM&w=2560&h=1707&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMygmegUIARCuAg;33257
6;Heitor Nascimento;Heitor.Nascimento@gmail.com;(44) 2060-9009;452332;31254;https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.jornalcontabil.com.br%2Fwp-content%2Fuploads%2F2019%2F07%2Fsenior-masculino-professor-segurando-o-livro-e-escrevendo-no-quadro-negro_23-2148200974.jpg&imgrefurl=https%3A%2F%2Fwww.jornalcontabil.com.br%2Fcomo-ficou-a-aposentadoria-do-professor-apos-a-reforma-2020%2F&tbnid=PYjPJg-4KdfVwM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg0egQIARBo..i&docid=3j2KNCuH33Oh_M&w=626&h=417&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg0egQIARBo;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.jornalcontabil.com.br%2Fwp-content%2Fuploads%2F2019%2F07%2Fsenior-masculino-professor-segurando-o-livro-e-escrevendo-no-quadro-negro_23-2148200974.jpg&imgrefurl=https%3A%2F%2Fwww.jornalcontabil.com.br%2Fcomo-ficou-a-aposentadoria-do-professor-apos-a-reforma-2020%2F&tbnid=PYjPJg-4KdfVwM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg0egQIARBo..i&docid=3j2KNCuH33Oh_M&w=626&h=417&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg0egQIARBo;31254
7;João Miguel da Mota;João.Mota@gmail.com;(46) 3431-8222;365930;23056;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.flexge.com%2Fcontent%2Fimages%2F2021%2F07%2Fpapel-professor-tecnologias-educacionais.jpg&imgrefurl=https%3A%2F%2Fblog.flexge.com%2Fpapel-professor-tecnologias-educacionais%2F&tbnid=vGdD7atvxbKQVM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg8egQIARB4..i&docid=mo5IrNV0JkEgFM&w=475&h=250&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg8egQIARB4;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.flexge.com%2Fcontent%2Fimages%2F2021%2F07%2Fpapel-professor-tecnologias-educacionais.jpg&imgrefurl=https%3A%2F%2Fblog.flexge.com%2Fpapel-professor-tecnologias-educacionais%2F&tbnid=vGdD7atvxbKQVM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg8egQIARB4..i&docid=mo5IrNV0JkEgFM&w=475&h=250&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg8egQIARB4;23056
8;Carolina Barros;Carolina.Barros@gmail.com;(44) 2390-4815;811624;37152;https://www.google.com/imgres?imgurl=http%3A%2F%2Fantescrescei.com.br%2Fwp-content%2Fuploads%2F2018%2F07%2Fprofessor-escola-biblica-dominical.jpeg&imgrefurl=http%3A%2F%2Fantescrescei.com.br%2Fprofessor-um-dos-elementos-mais-importantes-para-o-sucesso-da-escola-dominical%2F&tbnid=EoR_11O4LH4TlM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyhLegUIARCcAQ..i&docid=HluFf3NHZd-MvM&w=1000&h=667&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyhLegUIARCcAQ;Ativo;https://www.google.com/imgres?imgurl=http%3A%2F%2Fantescrescei.com.br%2Fwp-content%2Fuploads%2F2018%2F07%2Fprofessor-escola-biblica-dominical.jpeg&imgrefurl=http%3A%2F%2Fantescrescei.com.br%2Fprofessor-um-dos-elementos-mais-importantes-para-o-sucesso-da-escola-dominical%2F&tbnid=EoR_11O4LH4TlM&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyhLegUIARCcAQ..i&docid=HluFf3NHZd-MvM&w=1000&h=667&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyhLegUIARCcAQ;37152
9;Vicente Vendas;Vicente.Vendas@gmail.com;(46) 2710-8516;678904;28923;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.portalpos.com.br%2Fapp%2Fuploads%2F2021%2F08%2Fcarreira-de-professor.jpg&imgrefurl=https%3A%2F%2Fblog.portalpos.com.br%2Fcarreira-de-professor%2F&tbnid=ypmS_7KghyFs5M&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg3egQIARBu..i&docid=XUR3S_PSb1O3jM&w=1000&h=667&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg3egQIARBu;Ativo;https://www.google.com/imgres?imgurl=https%3A%2F%2Fblog.portalpos.com.br%2Fapp%2Fuploads%2F2021%2F08%2Fcarreira-de-professor.jpg&imgrefurl=https%3A%2F%2Fblog.portalpos.com.br%2Fcarreira-de-professor%2F&tbnid=ypmS_7KghyFs5M&vet=12ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg3egQIARBu..i&docid=XUR3S_PSb1O3jM&w=1000&h=667&q=professor%20&ved=2ahUKEwjDo9asy6n6AhVJHbkGHYguAusQMyg3egQIARBu;28923
10;Lucas Carvalho;Lucas.Carvalho@gmail.com;(43) 3077-3114;986358;29198;https://www.google.com/imgres?imgurl=http%3A%2F%2Fblogcarreiras.cruzeirodosuleducacional.edu.br%2Fwp-content%2Fuploads%2F2019%2F07%2Foriginal-7a061243274e247681ae25e3622b75fb.jpg&imgrefurl=https%3A%2F%2Fblogcarreiras.cruzeirodosuleducacional.edu.br%2Fcomo-ser-professor-saiba-o-que-cursar-e-se-vale-a-pena%2F&tbnid=3l0HCjwaFM_wgM&vet=10CAkQMyhsahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=LmJ7rbGtIoDH4M&w=2121&h=1414&q=professor%20&ved=0CAkQMyhsahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;Ativo;https://www.google.com/imgres?imgurl=http%3A%2F%2Fblogcarreiras.cruzeirodosuleducacional.edu.br%2Fwp-content%2Fuploads%2F2019%2F07%2Foriginal-7a061243274e247681ae25e3622b75fb.jpg&imgrefurl=https%3A%2F%2Fblogcarreiras.cruzeirodosuleducacional.edu.br%2Fcomo-ser-professor-saiba-o-que-cursar-e-se-vale-a-pena%2F&tbnid=3l0HCjwaFM_wgM&vet=10CAkQMyhsahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg..i&docid=LmJ7rbGtIoDH4M&w=2121&h=1414&q=professor%20&ved=0CAkQMyhsahcKEwiw3bjIy6n6AhUAAAAAHQAAAAAQAg;29198
